1,in_use,,,Opcode,prependage,appendage,Specific,variant,comments,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,31:30:29:28:27:26:25:24:23:22:21:20:19:18:17:16:15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,,Binary,,NAME,//		Opcode                                                          	BINARY    	OPCODE    	comments,//		BINARY    	Opcode    	Opcode	comments
70,,,,STXP,,x,,X,,,1,1,0,0,1,0,0,0,0,0,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8200000,,"stxpx,                                                  ","		stxpx,                                                  	/* 0xC8200000	STXP      	 */","		0xC8200000,	/* STXP      	stxpx	 */"
71,,,,STLXP,,x,,X,,,1,1,0,0,1,0,0,0,0,0,1,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8208000,,"stlxpx,                                                 ","		stlxpx,                                                 	/* 0xC8208000	STLXP     	 */","		0xC8208000,	/* STLXP     	stlxpx	 */"
72,,,,LDXR,,x,,X,,,1,1,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8400000,,"ldxrx,                                                  ","		ldxrx,                                                  	/* 0xC8400000	LDXR      	 */","		0xC8400000,	/* LDXR      	ldxrx	 */"
73,,,,LDAXR,,x,,X,,,1,1,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8408000,,"ldaxrx,                                                 ","		ldaxrx,                                                 	/* 0xC8408000	LDAXR     	 */","		0xC8408000,	/* LDAXR     	ldaxrx	 */"
74,,,,LDXP,,x,,X,,,1,1,0,0,1,0,0,0,0,1,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8600000,,"ldxpx,                                                  ","		ldxpx,                                                  	/* 0xC8600000	LDXP      	 */","		0xC8600000,	/* LDXP      	ldxpx	 */"
75,,,,LDAXP,,x,,X,,,1,1,0,0,1,0,0,0,0,1,1,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8608000,,"ldaxpx,                                                 ","		ldaxpx,                                                 	/* 0xC8608000	LDAXP     	 */","		0xC8608000,	/* LDAXP     	ldaxpx	 */"
76,,,,STLR,,x,,X,,,1,1,0,0,1,0,0,0,1,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8808000,,"stlrx,                                                  ","		stlrx,                                                  	/* 0xC8808000	STLR      	 */","		0xC8808000,	/* STLR      	stlrx	 */"
77,,,,LDAR,,x,,X,,,1,1,0,0,1,0,0,0,1,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8C08000,,"ldarx,                                                  ","		ldarx,                                                  	/* 0xC8C08000	LDAR      	 */","		0xC8C08000,	/* LDAR      	ldarx	 */"
78,,,Load register (literal),,,,,,,,-,-,0,1,1,-,0,0,imm19,,,,,,,,,,,,,,,,,,,Rt,,,,,,,,,,,	/* Load register (literal) */,	/* Load register (literal) */
79,,,,LDR,,w,,W,,,0,0,0,1,1,0,0,0,imm19,,,,,,,,,,,,,,,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:imm19:::::::::::::::::::Rt::::,,0x18000000,,"ldrw,                                                   ","		ldrw,                                                   	/* 0x18000000	LDR       	 */","		0x18000000,	/* LDR       	ldrw	 */"
